Record,Date,LOC Time,RS482,Profinet,Conexion Profinet,Quality A, Quality B, Quality C
       150,2024-06-08,11:59:37,0,0,0,    89,    65,    90
       151,2024-06-08,12:06:05,0,0,0,    89,    68,    90
       152,2024-06-08,12:12:32,0,0,0,    88,    67,    89
       153,2024-06-08,12:18:59,0,0,0,    89,    65,    90
       154,2024-06-08,12:25:26,0,0,0,    89,    67,    90
       155,2024-06-08,13:10:57,0,0,0,    89,    69,    90
       156,2024-06-08,13:17:25,0,0,0,    88,    64,    89
       157,2024-06-08,13:23:52,0,0,0,    89,    67,    90
       158,2024-06-08,13:30:20,0,0,0,    89,    67,    90
       159,2024-06-08,13:36:47,0,0,0,    89,    67,    90
       160,2024-06-08,13:43:15,0,0,0,    89,    66,    90
       161,2024-06-08,13:49:42,0,0,0,    89,    68,    90
       162,2024-06-08,13:56:10,0,0,0,    89,    68,    90
       163,2024-06-08,14:02:37,0,0,0,    89,    68,    90
       164,2024-06-08,14:09:04,0,0,0,    89,    68,    90
       165,2024-06-08,14:15:32,0,0,0,    89,    71,    90
       166,2024-06-08,14:22:43,0,0,0,    89,    68,    90
       167,2024-06-08,14:34:12,0,0,0,    89,    69,    90
       168,2024-06-08,14:41:02,0,0,0,    89,    71,    90
       169,2024-06-08,14:47:30,0,0,0,    89,    68,    90
       170,2024-06-08,14:53:57,0,0,0,    89,    68,    90
       171,2024-06-08,15:00:24,0,0,0,    89,    70,    90
       172,2024-06-08,15:06:52,0,0,0,    89,    70,    90
       173,2024-06-08,15:13:19,0,0,0,    89,    71,    90
       174,2024-06-08,15:24:00,0,0,0,    89,    68,    90
       175,2024-06-08,15:30:27,0,0,0,    89,    69,    90
       176,2024-06-08,15:38:02,0,0,0,    89,    69,    90
       177,2024-06-08,15:49:45,0,0,0,    89,    69,    90
       178,2024-06-08,15:57:22,0,0,0,    89,    66,    90
       179,2024-06-08,16:04:57,0,0,0,    89,    69,    90
       180,2024-06-08,16:11:25,0,0,0,    89,    70,    90
       181,2024-06-08,16:23:29,0,0,0,    89,    68,    90
       182,2024-06-08,16:29:56,0,0,0,    89,    66,    90
       183,2024-06-08,16:45:47,0,0,0,    89,    66,    90
       184,2024-06-08,16:56:24,0,0,0,    89,    68,    90
       185,2024-06-08,17:03:12,0,0,0,    89,    67,    90
       186,2024-06-08,17:21:07,0,0,0,    89,    68,    90
       187,2024-06-08,17:34:23,0,0,0,    89,    66,    90
       188,2024-06-08,17:40:51,0,0,0,    89,    69,    90
       189,2024-06-08,17:47:18,0,0,0,    89,    66,    90
       190,2024-06-08,17:56:32,0,0,0,    89,    68,    90
       191,2024-06-08,18:03:00,0,0,0,    89,    67,    90
       192,2024-06-08,18:10:00,0,0,0,    89,    68,    90
       193,2024-06-08,18:16:28,1,0,0,    89,    69,    90
       194,2024-06-08,18:22:56,0,0,0,    89,    68,    90
       195,2024-06-08,18:32:25,0,0,0,    89,    68,    90
       196,2024-06-08,18:38:52,0,0,0,    89,    70,    90
       197,2024-06-08,18:45:19,0,0,0,    89,    69,    90
       198,2024-06-08,18:51:47,0,0,0,    89,    70,    90
       199,2024-06-08,18:58:17,0,0,0,    89,    65,    90
       200,2024-06-08,19:04:44,0,0,0,    88,    66,    90
       201,2024-06-08,19:11:11,1,1,0,    34,    20,    90
       202,2024-06-08,19:18:52,0,0,0,    89,    69,    90
       203,2024-06-08,19:25:20,0,0,0,    89,    67,    90
       204,2024-06-08,19:31:48,1,0,0,    89,    69,    90
       205,2024-06-08,19:38:16,0,0,0,    89,    68,    90
       206,2024-06-08,19:44:44,0,0,0,    89,    69,    90
       207,2024-06-08,19:51:12,0,0,0,    89,    69,    90
       208,2024-06-08,19:57:40,0,0,0,    89,    67,    90
       209,2024-06-08,20:06:47,0,0,0,    89,    69,    90
       210,2024-06-08,20:13:14,0,0,0,    89,    66,    90
       211,2024-06-10,07:09:30,0,0,0,    89,    64,    90
       212,2024-06-10,07:16:24,0,0,0,    89,    64,    90
       213,2024-06-10,07:27:26,0,0,0,    89,    64,    90
       214,2024-06-10,07:33:54,0,0,0,    89,    64,    90
       215,2024-06-10,07:40:58,0,0,0,    89,    65,    90
       216,2024-06-10,07:47:26,0,0,0,    89,    66,    90
       217,2024-06-10,07:53:55,0,0,0,    89,    63,    90
       218,2024-06-10,08:05:48,0,0,0,    89,    67,    90
       219,2024-06-10,08:12:17,0,0,0,    89,    66,    90
       220,2024-06-10,08:18:45,0,0,0,    88,    63,    89
       221,2024-06-10,08:31:16,0,0,0,    89,    65,    90
       222,2024-06-10,08:37:43,0,0,0,    89,    66,    90
       223,2024-06-10,08:46:03,0,0,0,    89,    66,    90
       224,2024-06-10,08:53:13,0,0,0,    89,    66,    90
       225,2024-06-10,10:01:52,0,0,0,    89,    66,    90
       226,2024-06-10,10:08:22,0,0,0,    89,    65,    90
       227,2024-06-10,10:17:42,0,0,0,    89,    64,    90
       228,2024-06-10,10:28:16,0,0,0,    89,    66,    90
       229,2024-06-10,10:34:43,0,0,0,    89,    66,    90
       230,2024-06-10,10:42:05,0,0,0,    89,    64,    90
       231,2024-06-10,10:48:32,0,0,0,    89,    65,    90
       232,2024-06-10,10:55:00,0,0,0,    89,    66,    90
       233,2024-06-10,11:01:28,1,0,0,    89,    63,    90
       234,2024-06-10,11:07:56,0,0,0,    89,    66,    90
       235,2024-06-10,11:14:24,0,0,0,    88,    66,    89
       236,2024-06-10,11:20:51,0,0,0,    89,    63,    90
       237,2024-06-10,11:27:19,0,0,0,    88,    65,    89
       238,2024-06-10,12:13:26,0,0,0,    89,    65,    90
       239,2024-06-10,12:20:17,0,0,0,    89,    64,    90
       240,2024-06-10,12:30:48,0,0,0,    89,    63,    90
       241,2024-06-10,12:38:25,0,0,0,    89,    65,    90
       242,2024-06-10,12:44:54,0,1,0,    87,    61,    88
       243,2024-06-10,12:51:22,0,0,0,    89,    66,    90
       244,2024-06-10,12:57:50,0,1,0,    59,    39,    92
       245,2024-06-10,13:04:46,0,0,0,    89,    66,    90
       246,2024-06-10,13:13:56,0,0,0,    89,    65,    90
       247,2024-06-10,13:30:53,0,0,0,    89,    66,    90
       248,2024-06-10,13:37:52,0,0,0,    88,    65,    89
       249,2024-06-10,13:44:20,0,0,0,    89,    67,    90
       250,2024-06-10,14:01:33,0,0,0,    89,    64,    90
       251,2024-06-10,14:11:32,0,0,0,    89,    66,    90
       252,2024-06-10,14:18:00,1,0,0,    89,    65,    90
       253,2024-06-10,14:31:12,0,0,0,    89,    66,    90
       254,2024-06-10,14:44:55,0,0,0,    89,    65,    90
       255,2024-06-10,14:51:23,0,0,0,    89,    64,    90
       256,2024-06-10,14:57:52,0,0,0,    89,    64,    90
       257,2024-06-10,15:04:20,0,0,0,    89,    63,    90
       258,2024-06-10,15:11:41,1,1,0,    78,    56,    90
       259,2024-06-10,15:19:03,1,1,0,    60,    43,    90
       260,2024-06-10,15:26:53,0,1,0,    60,    44,    90
       261,2024-06-10,15:33:35,0,0,0,    89,    65,    90
       262,2024-06-10,15:40:02,0,0,0,    89,    63,    90
       263,2024-06-10,15:46:30,0,0,0,    89,    66,    90
       264,2024-06-10,15:52:57,0,0,0,    89,    65,    90
       265,2024-06-10,15:59:24,0,0,0,    89,    65,    90
       266,2024-06-10,16:05:51,0,0,0,    89,    64,    90
       267,2024-06-10,16:12:19,0,0,0,    89,    64,    90
       268,2024-06-10,16:18:46,0,0,0,    89,    65,    90
       269,2024-06-10,16:28:56,0,0,0,    89,    65,    90
       270,2024-06-10,16:42:06,0,0,0,    88,    65,    90
       271,2024-06-10,16:49:15,0,0,0,    89,    65,    90
       272,2024-06-10,16:57:51,0,0,0,    89,    64,    90
       273,2024-06-10,17:04:19,0,0,0,    89,    67,    90
       274,2024-06-10,17:10:47,0,0,0,    88,    67,    89
       275,2024-06-10,17:17:15,0,0,0,    88,    64,    90
       276,2024-06-10,17:23:43,1,0,0,    89,    65,    90
       277,2024-06-10,17:33:12,0,0,0,    89,    66,    90
       278,2024-06-10,17:39:40,0,0,0,    89,    66,    90
       279,2024-06-10,17:50:38,0,0,0,    89,    65,    90
       280,2024-06-10,17:57:05,0,0,0,    89,    64,    90
       281,2024-06-10,18:03:33,0,0,0,    89,    66,    90
       282,2024-06-10,18:10:01,1,0,0,    88,    65,    90
       283,2024-06-10,18:16:33,1,0,0,    89,    63,    90
       284,2024-06-10,18:23:00,1,0,0,    88,    64,    89
       285,2024-06-10,18:38:07,0,0,0,    89,    65,    90
       286,2024-06-10,18:44:35,0,0,0,    88,    65,    89
       287,2024-06-10,18:54:21,0,0,0,    89,    64,    90
       288,2024-06-10,19:00:48,0,0,0,    89,    64,    90
       289,2024-06-10,19:07:16,0,0,0,    88,    64,    89
       290,2024-06-10,19:34:42,0,0,0,    89,    66,    90
       291,2024-06-10,19:41:09,0,0,0,    88,    65,    89
       292,2024-06-10,19:55:58,0,0,0,    90,    65,    91
       293,2024-06-10,20:07:42,0,0,0,    89,    63,    90
       294,2024-06-10,20:14:10,0,1,0,    87,    63,    88
       295,2024-06-10,21:16:16,0,0,0,    89,    66,    90
       296,2024-06-10,21:22:43,0,0,0,    89,    65,    90
       297,2024-06-10,21:29:10,0,0,0,    89,    65,    90
       298,2024-06-10,21:35:38,0,0,0,    89,    65,    90
       299,2024-06-10,21:42:05,0,0,0,    89,    65,    90
       300,2024-06-10,21:48:32,1,0,0,    89,    64,    90
       301,2024-06-10,21:57:11,0,0,0,    88,    64,    89
       302,2024-06-10,22:03:39,0,0,0,    89,    66,    90
       303,2024-06-10,22:10:06,0,0,0,    89,    64,    90
       304,2024-06-10,22:18:01,0,0,0,    89,    64,    90
       305,2024-06-10,22:25:17,0,0,0,    88,    66,    89
       306,2024-06-10,22:35:44,0,0,0,    89,    66,    90
       307,2024-06-10,22:42:13,0,0,0,    89,    65,    90
       308,2024-06-10,22:48:40,0,0,0,    89,    63,    90
       309,2024-06-10,22:55:09,0,0,0,    88,    65,    89
       310,2024-06-10,23:02:17,0,0,0,    89,    64,    90
       311,2024-06-10,23:08:45,0,0,0,    89,    63,    90
       312,2024-06-10,23:16:52,0,0,0,    88,    66,    89
       313,2024-06-10,23:32:15,1,0,0,    89,    66,    90
       314,2024-06-10,23:38:44,1,0,0,    88,    66,    90
       315,2024-06-10,23:45:12,0,0,0,    89,    67,    90
       316,2024-06-10,23:51:40,0,0,0,    89,    64,    90
       317,2024-06-10,23:58:08,0,0,0,    88,    66,    89
       318,2024-06-11,00:04:36,1,0,0,    89,    64,    90
       319,2024-06-11,00:11:04,1,0,0,    89,    63,    90
       320,2024-06-11,00:17:32,0,0,0,    89,    64,    90
       321,2024-06-11,00:24:00,0,0,0,    89,    64,    90
       322,2024-06-11,00:30:28,0,0,0,    90,    65,    91
       323,2024-06-11,00:36:56,1,0,0,    89,    63,    90
       324,2024-06-11,00:43:23,0,0,0,    88,    65,    89
       325,2024-06-11,00:49:51,0,0,0,    89,    64,    90
       326,2024-06-11,00:56:19,0,0,0,    89,    64,    90
       327,2024-06-11,01:02:47,0,0,0,    89,    63,    90
       328,2024-06-11,01:09:14,0,0,0,    88,    65,    90
       329,2024-06-11,01:15:42,0,0,0,    88,    63,    89
       330,2024-06-11,01:22:10,1,0,0,    89,    64,    90
       331,2024-06-11,01:28:37,0,0,0,    89,    64,    90
       332,2024-06-11,01:35:05,0,0,0,    89,    65,    90
       333,2024-06-11,01:41:32,0,0,0,    89,    65,    90
       334,2024-06-11,01:47:59,0,0,0,    88,    65,    90
       335,2024-06-11,01:54:27,0,0,0,    89,    63,    90
       336,2024-06-11,02:00:54,0,0,0,    89,    67,    90
       337,2024-06-11,02:07:21,0,0,0,    89,    63,    90
       338,2024-06-11,02:50:50,0,0,0,    88,    64,    89
       339,2024-06-11,02:57:18,0,0,0,    89,    65,    90
       340,2024-06-11,03:03:46,1,0,0,    88,    64,    90
       341,2024-06-11,03:19:16,0,0,0,    90,    65,    91
       342,2024-06-11,03:25:43,0,0,0,    88,    65,    89
       343,2024-06-11,03:32:11,0,0,0,    89,    64,    90
       344,2024-06-11,03:38:39,0,0,0,    88,    64,    90
       345,2024-06-11,03:45:07,0,0,0,    88,    63,    89
       346,2024-06-11,03:51:34,1,0,0,    90,    64,    91
       347,2024-06-11,03:58:02,0,0,0,    88,    64,    90
       348,2024-06-11,04:04:30,0,0,0,    90,    63,    91
       349,2024-06-11,04:10:57,0,0,0,    88,    64,    89
       350,2024-06-11,04:17:25,0,0,0,    88,    64,    89
       351,2024-06-11,04:23:53,1,0,0,    88,    63,    89
       352,2024-06-11,04:30:21,1,0,0,    88,    64,    89
       353,2024-06-11,05:05:06,0,0,0,    89,    65,    90
       354,2024-06-11,05:11:33,1,0,0,    88,    65,    89
       355,2024-06-11,05:18:00,1,0,0,    89,    66,    90
       356,2024-06-11,05:24:31,0,0,0,    89,    64,    90
       357,2024-06-11,05:30:59,0,0,0,    88,    63,    90
       358,2024-06-11,05:37:26,1,0,0,    89,    66,    90
       359,2024-06-11,06:10:34,0,0,0,    88,    62,    89
       360,2024-06-11,06:17:01,0,0,0,    89,    64,    90
       361,2024-06-11,06:23:29,1,0,0,    89,    63,    90
       362,2024-06-11,06:29:56,0,0,0,    89,    64,    90
       363,2024-06-11,07:10:32,0,0,0,    89,    64,    90
       364,2024-06-11,07:17:00,0,0,0,    88,    64,    89
       365,2024-06-11,07:27:58,0,0,0,    89,    63,    90
       366,2024-06-11,07:34:25,0,0,0,    89,    66,    90
       367,2024-06-11,07:40:54,0,0,0,    89,    64,    90
       368,2024-06-11,07:47:21,0,0,0,    88,    64,    89
       369,2024-06-11,07:53:49,1,0,0,    89,    68,    90
       370,2024-06-11,08:00:17,0,0,0,    88,    64,    89
       371,2024-06-11,08:15:51,0,0,0,    89,    64,    90
       372,2024-06-11,08:22:21,0,0,0,    89,    64,    90
       373,2024-06-11,08:28:48,0,0,0,    89,    62,    90
       374,2024-06-11,08:35:16,0,0,0,    89,    64,    90
       375,2024-06-11,08:45:52,0,0,0,    89,    64,    90
       376,2024-06-11,08:52:20,0,0,0,    88,    64,    89
       377,2024-06-11,08:58:47,0,0,0,    89,    64,    90
       378,2024-06-11,09:05:15,1,0,0,    89,    65,    90
       379,2024-06-11,09:11:42,0,0,0,    89,    65,    90
       380,2024-06-11,09:20:06,0,0,0,    89,    63,    90
       381,2024-06-11,09:26:34,0,0,0,    89,    65,    90
       382,2024-06-11,09:33:01,0,0,0,    89,    64,    90
       383,2024-06-11,09:39:28,0,0,0,    89,    65,    90
       384,2024-06-11,09:45:56,0,0,0,    88,    62,    90
       385,2024-06-11,09:52:23,0,0,0,    89,    63,    90
       386,2024-06-11,09:58:50,0,0,0,    88,    61,    89
       387,2024-06-11,10:05:17,0,1,0,    88,    60,    89
       388,2024-06-11,10:11:44,0,0,0,    89,    63,    90
       389,2024-06-11,10:18:11,0,0,0,    89,    63,    90
       390,2024-06-11,10:24:39,0,0,0,    88,    62,    89
       391,2024-06-11,10:31:06,0,0,0,    88,    64,    90
       392,2024-06-11,10:45:43,0,0,0,    89,    63,    90
       393,2024-06-11,10:52:11,0,0,0,    88,    62,    89
       394,2024-06-11,10:58:39,0,0,0,    88,    61,    89
       395,2024-06-11,11:05:07,0,0,0,    88,    62,    89
       396,2024-06-11,11:15:42,0,0,0,    88,    63,    89
       397,2024-06-11,11:22:10,0,0,0,    88,    64,    90
       398,2024-06-11,11:28:37,0,0,0,    89,    66,    90
       399,2024-06-11,13:04:19,0,0,0,    89,    64,    90
       400,2024-06-11,13:15:19,0,0,0,    88,    64,    90
       401,2024-06-11,13:21:55,0,0,0,    88,    63,    90
       402,2024-06-11,13:28:31,0,0,0,    89,    64,    90
       403,2024-06-11,13:35:08,0,0,0,    89,    62,    90
       404,2024-06-11,13:42:57,0,0,0,    89,    62,    90
       405,2024-06-11,13:49:25,0,0,0,    89,    64,    90
       406,2024-06-11,13:55:53,0,0,0,    89,    65,    90
       407,2024-06-11,14:02:20,0,0,0,    89,    64,    90
       408,2024-06-11,14:08:49,0,0,0,    89,    66,    90
       409,2024-06-11,14:16:24,0,0,0,    89,    64,    90
       410,2024-06-11,14:23:01,0,0,0,    89,    65,    90
       411,2024-06-11,14:29:37,1,0,0,    89,    64,    90
